Authors,Title,Year,Source title,Link,Document Type,Source,EID
"Ledgerwood J., Wilson K.","Community-based financial services: A spectrum of providers",2013,"Enterprise Development and Microfinance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883685653&doi=10.3362%2f1755-1986.2013.010&partnerID=40&md5=813133925b22480938b2f859c90e9264",Article,Scopus,2-s2.0-84883685653
"Dangour A.D., Kennedy E., Taylor A.","Commentary: The changing focus for improving nutrition",2013,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880913069&partnerID=40&md5=b67802fd3997bf383acd0df6db761fa8",Note,Scopus,2-s2.0-84880913069
"Barthelmé T., Colbois B.","Eigenvalue control for a Finsler-Laplace operator",2013,"Annals of Global Analysis and Geometry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878110806&doi=10.1007%2fs10455-012-9355-8&partnerID=40&md5=e76247255c5db68a21f263401bee7a33",Article,Scopus,2-s2.0-84878110806
"Blanco M.A., Maderer A., Price L.L., Epstein S.K., Summergrad P.","Efficiency is not enough; you have to prove that you care: Role modelling of compassionate care in an innovative resident-as-teacher initiative",2013,"Education for Health: Change in Learning and Practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878448329&doi=10.4103%2f1357-6283.112805&partnerID=40&md5=b7c46ca43dc2c8108371187c712472f3",Article,Scopus,2-s2.0-84878448329
"de Waal A.","'My fears, alas, were not unfounded': Africa's responses to the Libya conflict",2013,"Libya, the Responsibility to Protect and the Future of Humanitarian Intervention","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952301892&doi=10.1057%2f9781137273956&partnerID=40&md5=63eed2c5db271388231bd5c98a5e47ea",Book Chapter,Scopus,2-s2.0-84952301892
"Schmidt-Nowara C.","Anti-slavery in Spain and its colonies, 1808-86",2013,"A Global History of Anti-Slavery Politics in the Nineteenth Century","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016631046&doi=10.1057%2f9781137032607&partnerID=40&md5=e161264c7a166ab8b0dbffb7caa93c41",Book Chapter,Scopus,2-s2.0-85016631046
"Levinson F.J.","Engaging development partners in efforts to reverse malnutrition trends in Pakistan",2013,"IDS Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877799897&doi=10.1111%2f1759-5436.12033&partnerID=40&md5=be88762e410f3eec28f4f6d44b5448b1",Article,Scopus,2-s2.0-84877799897
"Gaither S.E., Sommers S.R., Ambady N.","When the half affects the whole: Priming identity for biracial individuals in social interactions",2013,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873291549&doi=10.1016%2fj.jesp.2012.12.012&partnerID=40&md5=96ea74a3d006ff7200ed957088b638f7",Article,Scopus,2-s2.0-84873291549
"Cohen-Goldberg A.M., Cholin J., Miozzo M., Rapp B.","The interface between morphology and phonology: Exploring a morpho-phonological deficit in spoken production",2013,"Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874729987&doi=10.1016%2fj.cognition.2013.01.004&partnerID=40&md5=e098b8888c5d59ca35fbe1f782d2f22b",Article,Scopus,2-s2.0-84874729987
"Berry J.M.","Business politics in an era of demographic change",2013,"Forum (Germany)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888859211&doi=10.1515%2fforum-2013-0024&partnerID=40&md5=6f6efb98c77f83a677707383a33c7a4f",Article,Scopus,2-s2.0-84888859211
"De Waal A.","Sudan's elusive democratisation: Civic mobilisation, provincial rebellion and chameleon dictatorships",2013,"Journal of Contemporary African Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878604119&doi=10.1080%2f02589001.2013.786901&partnerID=40&md5=7cf0f51a266d6d1a1cb8b47f8fb66908",Article,Scopus,2-s2.0-84878604119
"Neven D., Trachtman J.P.","Philippines-Taxes on distilled spirits: Like products and market definition",2013,"World Trade Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876561834&doi=10.1017%2fS147474561200047X&partnerID=40&md5=5ad12d1ea6804e5196e2d15e64ed3b03",Article,Scopus,2-s2.0-84876561834
"Brittian A.S., Lerner R.M.","Early influences and later outcomes associated with developmental trajectories of Eriksonian fidelity",2013,"Developmental Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876111599&doi=10.1037%2fa0028323&partnerID=40&md5=f765539c6b99cd1aae786fb9e1cad181",Article,Scopus,2-s2.0-84876111599
"Yohannes O., Yohannes K.","Turmoil in the Nile River Basin: Back to the Future?",2013,"Journal of Asian and African Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876265716&doi=10.1177%2f0021909612447175&partnerID=40&md5=e7d70ef704800f0a61963484231d44e6",Article,Scopus,2-s2.0-84876265716
"Bates R.H., Block S.A.","Revisiting African agriculture: Institutional change and productivity growth",2013,"Journal of Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876166892&doi=10.1017%2fS0022381613000078&partnerID=40&md5=65c0c181d3dba4eee754479754d15aa6",Article,Scopus,2-s2.0-84876166892
"De Waal A., Ibreck R.","Hybrid social movements in Africa",2013,"Journal of Contemporary African Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878560586&doi=10.1080%2f02589001.2013.781320&partnerID=40&md5=4de4adb63cefec546eeb9c4fcc53f553",Article,Scopus,2-s2.0-84878560586
"De waal A., Ibreck R.","Alem Bekagn: The african union's accidental human rights memorial",2013,"African Affairs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876493560&doi=10.1093%2fafraf%2fadt006&partnerID=40&md5=784a5a34e98a88c9b4f2bd9feb2ab2e3",Article,Scopus,2-s2.0-84876493560
"Fuller C.H., Patton A.P., Lane K., Laws M.B., Marden A., Carrasco E., Spengler J., Mwamburi M., Zamore W., Durant J.L., Brugge D.","A community participatory study of cardiovascular health and exposure to near-highway air pollution: Study design and methods",2013,"Reviews on Environmental Health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879045922&doi=10.1515%2freveh-2012-0029&partnerID=40&md5=5494be33e5f01179fef4125d92f83b7f",Review,Scopus,2-s2.0-84879045922
"Brunyé T.T., Gagnon S.A., Paczynski M., Shenhav A., Mahoney C.R., Taylor H.A.","Happiness by association: Breadth of free association influences affective states",2013,"Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873877305&doi=10.1016%2fj.cognition.2012.11.015&partnerID=40&md5=f1ce5f5fac05cbd52de20321a97d45da",Article,Scopus,2-s2.0-84873877305
"Adler B.E., Capkun V., Weiss L.A.","Value destruction in the new era of chapter 11",2013,"Journal of Law, Economics, and Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876404242&doi=10.1093%2fjleo%2fewr004&partnerID=40&md5=beaf7be614d565b9aa70801e9237171b",Article,Scopus,2-s2.0-84876404242
"Vandenberg L.N., Hunt P.A., Myers J.P., Vom Saal F.S.","Human exposures to bisphenol A: Mismatches between data and assumptions",2013,"Reviews on Environmental Health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879058255&doi=10.1515%2freveh-2012-0034&partnerID=40&md5=154537c9764f65d6cc6938387c9989cf",Review,Scopus,2-s2.0-84879058255
"De Waal A.","African roles in the Libyan conflict of 2011",2013,"International Affairs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875789791&doi=10.1111%2f1468-2346.12022&partnerID=40&md5=9e81b332cddd4c294f0448a278d46348",Article,Scopus,2-s2.0-84875789791
"Chippendale T.","Factors Associated With Depressive Symptoms Among Elders in Senior Residences: The Importance of Feeling Valued by Others",2013,"Clinical Gerontologist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874519462&doi=10.1080%2f07317115.2012.749321&partnerID=40&md5=b241ee09d920b9827dd75bd96fe0cf2a",Article,Scopus,2-s2.0-84874519462
"Gaither S.E., Sommers S.R.","Living with an other-race roommate shapes Whites' behavior in subsequent diverse settings",2013,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871435669&doi=10.1016%2fj.jesp.2012.10.020&partnerID=40&md5=2e440b2005c8c38e755d27819f8f979e",Article,Scopus,2-s2.0-84871435669
"Hollander J.B.","Contemporary perceptions of nine decades of depopulation in New Bedford, Massachusetts",2013,"Urban Design International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872835555&doi=10.1057%2fudi.2012.25&partnerID=40&md5=d0afdbf4a8752758a31ecb342bf488e5",Article,Scopus,2-s2.0-84872835555
"Dujmovic N.","Reagan, intelligence, casey, and the CIA: A reappraisal",2013,"International Journal of Intelligence and CounterIntelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871332728&doi=10.1080%2f08850607.2013.732432&partnerID=40&md5=3d94958ae4e1f0eb74ae55796c9646c8",Article,Scopus,2-s2.0-84871332728
"Baumann S.M., Webb P., Zeller M.","Validity of food consumption indicators in the Lao context: Moving toward cross-cultural standardization",2013,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875736091&partnerID=40&md5=d21dbc8dd6ad26bda3f1c325b21cfd9f",Article,Scopus,2-s2.0-84875736091
"Drezner D.W., McNamara K.R.","International political economy, global financial orders and the 2008 financial crisis",2013,"Perspectives on Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875490071&doi=10.1017%2fS1537592712003660&partnerID=40&md5=7974acbe05ab0a941227df0452004f11",Article,Scopus,2-s2.0-84875490071
"Parker J., Tiberi L.J., Akhilgova J., Toirov F., Almedom A.M.","""Hope is the Engine of Life""; ""Hope Dies with the Person"": Analysis of Meaning Making in FAO-Supported North Caucasus Communities Using the ""Sense and Sensibilities of Coherence"" (SSOC) Methodology",2013,"Journal of Loss and Trauma","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871285486&doi=10.1080%2f15325024.2012.684578&partnerID=40&md5=41f6a95968c91a34bdd1ccbb4dba81c4",Article,Scopus,2-s2.0-84871285486
"Pierce M.E., Wechsler-Zimring A., Noam G., Wolf M., Katzir T.","Behavioral Problems and Reading Difficulties Among Language Minority and Monolingual Urban Elementary School Students",2013,"Reading Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873949355&doi=10.1080%2f02702711.2011.626108&partnerID=40&md5=2f56b544f80a132226d33921131ec3e3",Article,Scopus,2-s2.0-84873949355
"Kumar A.","A constructive challenge to the political class: The Aam Aadmi's Party",2013,"Economic and Political Weekly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875501130&partnerID=40&md5=7b8fd204dae589ccca2ea39f997f3d68",Review,Scopus,2-s2.0-84875501130
"Williamson V.M., Hegarty M., Deslongchamps G., Williamson III K.C., Shultz M.J.","Identifying student use of ball-and-stick images versus electrostatic potential map images via eye tracking",2013,"Journal of Chemical Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873691934&doi=10.1021%2fed200259j&partnerID=40&md5=58ea34ddc2035a06087169a665a2fb9c",Article,Scopus,2-s2.0-84873691934
"Taylor R.C.R.","The politics of securing borders and the identities of disease",2013,"Sociology of Health and Illness","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875550332&doi=10.1111%2f1467-9566.12009&partnerID=40&md5=4c1aec882ecaa27c5320bd221293701f",Article,Scopus,2-s2.0-84875550332
"Glennon M.J.","Pre-empting proliferation: International law, morality, and nuclear weapons",2013,"European Journal of International Law","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877144714&doi=10.1093%2fejil%2fchs083&partnerID=40&md5=a238d69051e17e97214419a7705a22c1",Article,Scopus,2-s2.0-84877144714
"Gaither S.E., Sommers S.R.","Honk if you like minorities: Vuvuzela attitudes predict outgroup liking",2013,"International Review for the Sociology of Sport","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872703132&doi=10.1177%2f1012690211429219&partnerID=40&md5=70e62b98642833a38b20d57e4781feed",Article,Scopus,2-s2.0-84872703132
"Chayes A.","Chapter VII1/2: Is jus post bellum possible?",2013,"European Journal of International Law","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877153047&doi=10.1093%2fejil%2fchs089&partnerID=40&md5=71a2e2b3b6ec03fb0c2b4563d316b6bd",Article,Scopus,2-s2.0-84877153047
"Rotberg R.I., Aker J.C.","Mobile phones: Uplifting weak and failed states",2013,"Washington Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871424438&doi=10.1080%2f0163660X.2013.751651&partnerID=40&md5=74b4d4d0c856cfd42c4bbac5c6667029",Article,Scopus,2-s2.0-84871424438
"Martinez L.S., Peréa F.C., Ursillo A., Weeks F.H., Goldstein-Gelb W., Brugge D.","A democratic university-community administrative body dedicated to expanding community-engaged research: The Tufts Community Research Center (TCRC)",2013,"Community Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874537216&doi=10.1080%2f15575330.2012.678873&partnerID=40&md5=1d62675b04b8c6f02bf78997cd539255",Article,Scopus,2-s2.0-84874537216
"Tokede O., Walji M., Ramoni R., White J.M., Schoonheim-Klein M., Kimmes N.S., Vaderhobli R., Stark P.C., Patel V.L., Kalenderian E.","Treatment planning in dentistry using an electronic health record: Implications for undergraduate education",2013,"European Journal of Dental Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871698034&doi=10.1111%2fj.1600-0579.2012.00759.x&partnerID=40&md5=a318b6e8455376bb6930ab9bc9a9dbe6",Article,Scopus,2-s2.0-84871698034
"Flannery L.P., Bers M.U.","Let's dance the ""Robot Hokey-Pokey!"": Children's programming approaches and achievement throughout early cognitive development",2013,"Journal of Research on Technology in Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897482407&doi=10.1080%2f15391523.2013.10782614&partnerID=40&md5=8eab465b1e8a0eb4e865e71be395d9fb",Article,Scopus,2-s2.0-84897482407
"Schildkraut D.J.","Amnesty, guest workers, fences! oh my!: Public opinion about “comprehensive immigration reform”",2013,"Immigration and Public Opinion in Liberal Democracies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917010233&doi=10.4324%2f9780203095133&partnerID=40&md5=f2d088971f27371f3c2b4d3f42c58c30",Book Chapter,Scopus,2-s2.0-84917010233
"Toogood M.","George eliot's ""strange printing"": Exegesis, community, and Daniel Deronda",2013,"Victorians","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899977641&partnerID=40&md5=73e70c8538e252b9fe2df6f1c13e7f5f",Article,Scopus,2-s2.0-84899977641
"Hatcher B.A.","Pandits at work: The modern shastric imaginary in early colonial Bengal",2013,"Trans-Colonial Modernities in South Asia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917454581&doi=10.4324%2f9780203135396&partnerID=40&md5=4003de23c1d5e6bb6bcd01cf8f928e45",Book Chapter,Scopus,2-s2.0-84917454581
"Mansour S.","Egypt’s “Facebook Revolution”? The role of new media in the Egyptian uprising and beyond",2013,"Non-State Actors in the Middle East: Factors for Peace and Democracy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925725073&doi=10.4324%2f9781315856605&partnerID=40&md5=3599f302a89db74c5c7981777386b73f",Book Chapter,Scopus,2-s2.0-84925725073
"Stieve T.","Landscape of the unknown: Mobilizing three understandings of landscape to interpret American and Indian cinematic outer space",2013,"GeoJournal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872928264&doi=10.1007%2fs10708-011-9436-4&partnerID=40&md5=65d315bf76e348f925c12582b27a305c",Article,Scopus,2-s2.0-84872928264
"Donini A., Maxwell D.","From face-to-face to face-to-screen: Remote management, effectiveness and accountability of humanitarian action in insecure environments",2013,"International Review of the Red Cross","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909965470&doi=10.1017%2fS1816383114000265&partnerID=40&md5=0a2c466d08fa3d4aa672b5db510cd59e",Review,Scopus,2-s2.0-84909965470
"Krimsky S.","Do Financial Conflicts of Inteterest Bias Research?: An Inquiry into the ""Funding Effect"" Hypothesis",2013,"Science Technology and Human Values","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879179138&doi=10.1177%2f0162243912456271&partnerID=40&md5=646c70db3e6254ff01340acd8bff5504",Article,Scopus,2-s2.0-84879179138
"Geldhof G.J., Bowers E.P., Lerner R.M.","Special Section Introduction: Thriving in Context: Findings from the 4-H Study of Positive Youth Development",2013,"Journal of Youth and Adolescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871419190&doi=10.1007%2fs10964-012-9855-7&partnerID=40&md5=7911880fddca78bb4fcf45c1861f25fa",Editorial,Scopus,2-s2.0-84871419190
"Howard R.D.","Foreword: Show me the money",2013,"Terrornomics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938545734&partnerID=40&md5=c4fda818f96364dc73a415a512aa9732",Editorial,Scopus,2-s2.0-84938545734
"Ostrander S.A.","Citizenship and governance in a changing city: Somerville, MA",2013,"Citizenship and Governance in a Changing City: Somerville, MA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944553354&partnerID=40&md5=8087003930cb3dc7ed8c736ee170a0e5",Book,Scopus,2-s2.0-84944553354
"Schildkraut D.J.","Immigrant resentment and American identity in the twenty-first century",2013,"American Identity in the Age of Obama","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920769174&doi=10.4324%2f9781315858586&partnerID=40&md5=a713d941c2bd215474115e69c4faa5b5",Book Chapter,Scopus,2-s2.0-84920769174
"Lazarus M.","International mechanisms for greenhouse gas mitigation finance and investment",2013,"The Economics of Climate Change in China: Towards a Low-Carbon Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925727309&doi=10.4324%2f9781315067209&partnerID=40&md5=31b6a6b72601370656bedf99d1fc3840",Book Chapter,Scopus,2-s2.0-84925727309
"De Waal A.","Sudan: Darfur",2013,"Responding to Conflict in Africa: The United Nations and Regional Organizations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991977601&doi=10.1057%2f9781137367587&partnerID=40&md5=ea518cdc94be40caff4024cb2d868ce4",Book Chapter,Scopus,2-s2.0-84991977601
"Masuoka N.","Racial identification in a post-obama era: Multiracialism, identity choice, and candidate evaluation",2013,"American Identity in the Age of Obama","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920754767&doi=10.4324%2f9781315858586&partnerID=40&md5=f276c7e97fd18438ae0395c2fdc8d5d0",Book Chapter,Scopus,2-s2.0-84920754767
"Benjamin A.","Math in plain english: Literacy strategies for the mathematics classroom",2013,"Math in Plain English: Literacy Strategies for the Mathematics Classroom","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911121318&doi=10.4324%2f9781315855127&partnerID=40&md5=6fc1889cfb0049d79f86c7f5869a5591",Book,Scopus,2-s2.0-84911121318
"Rastegar K.","Balancing integration and disintegration: Amir elsaffar and the contingent avant-garde",2013,"The Arab Avant-Garde: Music, Politics, Modernity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947073326&partnerID=40&md5=63486e57092fdcfdb2dc7a01a984d3c5",Book Chapter,Scopus,2-s2.0-84947073326
"Schliemann A.D., Carraher D.W., Brizuela B.M.","Bringing out the algebraic character of arithmetic: From children’s ideas to classroom practice",2013,"Bringing Out the Algebraic Character of Arithmetic: From Children’s Ideas to Classroom Practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920759193&doi=10.4324%2f9780203827192&partnerID=40&md5=df36a28ed1ce5f682d71bf187369627b",Book,Scopus,2-s2.0-84920759193
"Epstein B., Forber P.","The perils of tweaking: How to use macrodata to set parameters in complex simulation models",2013,"Synthese","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871949116&doi=10.1007%2fs11229-012-0142-7&partnerID=40&md5=37af72caa7430d17870eb47dcdd466e7",Article,Scopus,2-s2.0-84871949116
"Wu W.","Outsiders in the city: Migrant housing and settlement patterns",2013,"Rural Migrants in Urban China: Enclaves and Transient Urbanism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918913163&doi=10.4324%2f9780203796597&partnerID=40&md5=bb1aba2ee904ab227142b6466a8df1c2",Book Chapter,Scopus,2-s2.0-84918913163
"Newton J.","Amazon basin",2013,"The UN Watercourses Convention in Force: Strengthening International Law for Transboundary Water Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919509552&doi=10.4324%2f9780203135365&partnerID=40&md5=1287b18bb27f6c59162ec319dac0efaa",Book Chapter,Scopus,2-s2.0-84919509552
